"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,MortFleetGroup

timestep,fleet,group,value
18,2,8,0
18,2,9,0
18,2,10,0
18,2,11,0
18,3,1,0
18,3,2,0
18,3,3,0
18,3,4,0
18,3,5,0.3333333
18,3,6,0.17142859
18,3,7,0
18,3,8,0
18,3,9,0
18,3,10,0
18,3,11,0
18,4,1,0
18,4,2,0
18,4,3,0
18,4,4,0
18,4,5,0
18,4,6,0.028571429
18,4,7,0
18,4,8,0
18,4,9,0
18,4,10,0
18,4,11,0
18,5,1,0
18,5,2,0
18,5,3,0
18,5,4,0
18,5,5,0
18,5,6,0
18,5,7,0.625
18,5,8,0
18,5,9,0
18,5,10,0
18,5,11,0
19,1,1,0
19,1,2,0.073891625
19,1,3,0
19,1,4,0
19,1,5,0
19,1,6,0
19,1,7,0
19,1,8,0
19,1,9,0
19,1,10,0
19,1,11,0
19,2,1,0
19,2,2,0
19,2,3,0.15749998
19,2,4,0.11666667
19,2,5,0
19,2,6,0
19,2,7,0
19,2,8,0
19,2,9,0
19,2,10,0
19,2,11,0
19,3,1,0
19,3,2,0
19,3,3,0
19,3,4,0
19,3,5,0.3333333
19,3,6,0.17142858
19,3,7,0
19,3,8,0
19,3,9,0
19,3,10,0
19,3,11,0
19,4,1,0
19,4,2,0
19,4,3,0
19,4,4,0
19,4,5,0
19,4,6,0.028571427
19,4,7,0
19,4,8,0
19,4,9,0
19,4,10,0
19,4,11,0
19,5,1,0
19,5,2,0
19,5,3,0
19,5,4,0
19,5,5,0
19,5,6,0
19,5,7,0.625
19,5,8,0
19,5,9,0
19,5,10,0
19,5,11,0
20,1,1,0
20,1,2,0.073891625
20,1,3,0
20,1,4,0
20,1,5,0
20,1,6,0
20,1,7,0
20,1,8,0
20,1,9,0
20,1,10,0
20,1,11,0
20,2,1,0
20,2,2,0
20,2,3,0.15749998
20,2,4,0.116666675
20,2,5,0
20,2,6,0
20,2,7,0
20,2,8,0
20,2,9,0
20,2,10,0
20,2,11,0
20,3,1,0
20,3,2,0
20,3,3,0
20,3,4,0
20,3,5,0.3333333
20,3,6,0.17142858
20,3,7,0
20,3,8,0
20,3,9,0
20,3,10,0
20,3,11,0
20,4,1,0
20,4,2,0
20,4,3,0
20,4,4,0
20,4,5,0
20,4,6,0.028571425
20,4,7,0
20,4,8,0
20,4,9,0
20,4,10,0
20,4,11,0
20,5,1,0
20,5,2,0
20,5,3,0
20,5,4,0
20,5,5,0
20,5,6,0
20,5,7,0.625
20,5,8,0
20,5,9,0
20,5,10,0
20,5,11,0
21,1,1,0
21,1,2,0.073891625
21,1,3,0
21,1,4,0
21,1,5,0
21,1,6,0
21,1,7,0
21,1,8,0
21,1,9,0
21,1,10,0
21,1,11,0
21,2,1,0
21,2,2,0
21,2,3,0.15749998
21,2,4,0.11666667
21,2,5,0
21,2,6,0
21,2,7,0
21,2,8,0
21,2,9,0
21,2,10,0
21,2,11,0
21,3,1,0
21,3,2,0
21,3,3,0
21,3,4,0
21,3,5,0.3333333
21,3,6,0.17142858
21,3,7,0
21,3,8,0
21,3,9,0
21,3,10,0
21,3,11,0
21,4,1,0
21,4,2,0
21,4,3,0
21,4,4,0
21,4,5,0
21,4,6,0.028571429
21,4,7,0
21,4,8,0
21,4,9,0
21,4,10,0
21,4,11,0
21,5,1,0
21,5,2,0
21,5,3,0
21,5,4,0
21,5,5,0
21,5,6,0
21,5,7,0.62500006
21,5,8,0
21,5,9,0
21,5,10,0
21,5,11,0
22,1,1,0
22,1,2,0.073891625
22,1,3,0
22,1,4,0
22,1,5,0
22,1,6,0
22,1,7,0
22,1,8,0
22,1,9,0
22,1,10,0
22,1,11,0
22,2,1,0
22,2,2,0
22,2,3,0.15749998
22,2,4,0.11666667
22,2,5,0
22,2,6,0
22,2,7,0
22,2,8,0
22,2,9,0
22,2,10,0
22,2,11,0
22,3,1,0
22,3,2,0
22,3,3,0
22,3,4,0
22,3,5,0.3333333
22,3,6,0.17142859
22,3,7,0
22,3,8,0
22,3,9,0
22,3,10,0
22,3,11,0
22,4,1,0
22,4,2,0
22,4,3,0
22,4,4,0
22,4,5,0
22,4,6,0.028571429
22,4,7,0
22,4,8,0
22,4,9,0
22,4,10,0
22,4,11,0
22,5,1,0
22,5,2,0
22,5,3,0
22,5,4,0
22,5,5,0
22,5,6,0
22,5,7,0.625
22,5,8,0
22,5,9,0
22,5,10,0
22,5,11,0
23,1,1,0
23,1,2,0.073891625
23,1,3,0
23,1,4,0
23,1,5,0
23,1,6,0
23,1,7,0
23,1,8,0
23,1,9,0
23,1,10,0
23,1,11,0
23,2,1,0
23,2,2,0
23,2,3,0.15749998
23,2,4,0.11666667
23,2,5,0
23,2,6,0
23,2,7,0
23,2,8,0
23,2,9,0
23,2,10,0
23,2,11,0
23,3,1,0
23,3,2,0
23,3,3,0
23,3,4,0
23,3,5,0.3333333
23,3,6,0.17142856
23,3,7,0
23,3,8,0
23,3,9,0
23,3,10,0
23,3,11,0
23,4,1,0
23,4,2,0
23,4,3,0
23,4,4,0
23,4,5,0
23,4,6,0.028571427
23,4,7,0
23,4,8,0
23,4,9,0
23,4,10,0
23,4,11,0
23,5,1,0
23,5,2,0
23,5,3,0
23,5,4,0
23,5,5,0
23,5,6,0
23,5,7,0.625
23,5,8,0
23,5,9,0
23,5,10,0
23,5,11,0
24,1,1,0
24,1,2,0.073891625
24,1,3,0
24,1,4,0
24,1,5,0
24,1,6,0
24,1,7,0
24,1,8,0
24,1,9,0
24,1,10,0
24,1,11,0
24,2,1,0
24,2,2,0
24,2,3,0.15749998
24,2,4,0.11666667
24,2,5,0
24,2,6,0
24,2,7,0
24,2,8,0
24,2,9,0
24,2,10,0
24,2,11,0
24,3,1,0
24,3,2,0
24,3,3,0
24,3,4,0
24,3,5,0.3333333
24,3,6,0.17142858
24,3,7,0
24,3,8,0
24,3,9,0
24,3,10,0
24,3,11,0
24,4,1,0
24,4,2,0
24,4,3,0
24,4,4,0
24,4,5,0
24,4,6,0.028571429
24,4,7,0
24,4,8,0
24,4,9,0
24,4,10,0
24,4,11,0
24,5,1,0
24,5,2,0
24,5,3,0
24,5,4,0
24,5,5,0
24,5,6,0
24,5,7,0.625
24,5,8,0
24,5,9,0
24,5,10,0
24,5,11,0
25,1,1,0
25,1,2,0.073891625
25,1,3,0
25,1,4,0
25,1,5,0
25,1,6,0
25,1,7,0
25,1,8,0
25,1,9,0
